City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
295,berezovo,63.9381,65.0419,14.02,96,100,2.54,RU,1690415151
296,palu,-0.8917,119.8707,26.78,83,94,0.82,ID,1690415151
297,lerwick,60.1545,-1.1494,10.0,86,4,1.68,GB,1690415152
298,as sulayyil,20.4607,45.5779,33.14,9,34,3.12,SA,1690415152
299,nova vicosa,-17.8919,-39.3719,21.61,79,3,2.83,BR,1690415153
300,dunedin,-45.8742,170.5036,8.22,52,99,8.49,NZ,1690415153
301,kiffa,16.6166,-11.4045,34.03,45,12,6.38,MR,1690415153
302,megion,61.0296,76.1136,17.01,94,91,2.78,RU,1690415154
303,westport,41.1415,-73.3579,28.16,73,0,6.17,US,1690415154
304,tumayr,25.7039,45.868,30.96,13,38,2.87,SA,1690415155
305,gobabis,-22.45,18.9667,12.17,29,9,2.23,NA,1690415155
306,hanceville,34.0607,-86.7675,33.42,56,3,1.67,US,1690415156
307,kudahuvadhoo,2.6708,72.8944,28.29,79,76,5.35,MV,1690415156
308,tolanaro,-25.0319,46.9987,19.04,77,40,5.14,MG,1690415157
309,coxen hole,16.3244,-86.5366,30.6,62,0,4.12,HN,1690415051
310,hasaki,35.7333,140.8333,36.28,74,9,4.11,JP,1690415158
311,greenville,35.6127,-77.3663,32.09,71,40,5.66,US,1690414876
312,yeed,4.55,43.0333,23.4,60,84,8.63,SO,1690415158
313,al 'aziziyah,32.9058,45.0616,35.71,13,0,4.3,IQ,1690415159
314,piti village,13.4626,144.6933,26.49,92,100,5.66,GU,1690415159
315,ankang,32.68,109.0172,24.92,89,100,1.06,CN,1690415160
316,vigan,17.5747,120.3869,27.74,79,100,11.34,PH,1690415161
317,mount pearl,47.5166,-52.7813,22.19,70,75,8.23,CA,1690415161
318,altus,34.6381,-99.334,39.92,21,0,6.69,US,1690415161
319,sao gabriel da cachoeira,-0.1303,-67.0892,25.01,86,72,0.9,BR,1690415162
320,vila velha,-20.3297,-40.2925,21.64,87,0,2.06,BR,1690415016
321,lagos,6.5833,3.75,27.18,91,72,2.63,NG,1690415075
322,fethiye,36.6217,29.1164,23.93,31,0,0.77,TR,1690415164
323,carnarvon,-24.8667,113.6333,15.61,56,23,5.29,AU,1690415164
324,touros,-5.1989,-35.4608,25.87,83,9,9.74,BR,1690415011
325,akureyri,65.6835,-18.0878,9.96,71,75,1.03,IS,1690415166
326,narasapur,16.45,81.6667,25.02,91,100,8.02,IN,1690415167
327,karratha,-20.7377,116.8463,19.95,59,57,4.07,AU,1690415167
328,prince rupert,54.3161,-130.3201,18.05,73,100,3.09,CA,1690415168
329,dalandzadgad,43.5708,104.425,23.74,36,41,3.68,MN,1690415169
330,harper,4.375,-7.7169,24.72,89,81,4.31,LR,1690415169
331,chuguyevka,44.1653,133.8633,28.31,64,57,1.06,RU,1690415171
332,kilju,40.9642,129.3278,29.93,53,95,1.29,KP,1690415171
333,esens,53.6487,7.6127,14.43,91,19,1.54,DE,1690415172
334,saint-philippe,-21.3585,55.7679,19.77,82,33,4.88,RE,1690415172
335,tamandare,-8.7597,-35.1047,23.46,85,28,2.84,BR,1690415172
336,sabha,27.0377,14.4283,32.74,9,0,4.89,LY,1690415173
337,monrovia,6.3005,-10.7969,24.87,90,64,1.81,LR,1690415173
338,amos,48.5669,-78.1162,17.9,97,100,4.67,CA,1690414891
339,chabahar,25.2919,60.643,28.23,85,100,5.06,IR,1690415175
340,sao felix do xingu,-6.6447,-51.995,26.51,45,23,0.64,BR,1690415096
341,nizhnevartovsk,60.9344,76.5531,17.01,100,100,2.0,RU,1690415176
342,mugia,43.1041,-9.2179,19.39,82,42,4.55,ES,1690415176
343,santa isabel,-23.3156,-46.2214,18.84,53,39,1.23,BR,1690415176
344,lafiagi,8.8667,5.4167,25.45,85,100,1.67,NG,1690415177
345,moyynkum,44.2914,72.9469,27.03,25,1,3.48,KZ,1690415177
346,anadyr,64.75,177.4833,12.28,87,75,4.0,RU,1690414961
347,ylitornio,66.3089,23.6773,10.88,96,52,1.9,FI,1690415178
348,serafimovich,49.5786,42.736,22.67,51,1,2.4,RU,1690415179
349,anna regina,7.2644,-58.5077,26.05,87,17,2.77,GY,1690415179
350,usinsk,65.9939,57.5281,14.65,91,85,2.48,RU,1690415179
351,ormara,25.2088,64.6357,28.36,87,98,2.26,PK,1690415180
352,robbah,33.2797,6.9098,31.8,48,1,10.89,DZ,1690415181
353,santo antonio do ica,-3.1022,-67.9397,27.35,71,96,0.72,BR,1690415181
354,barberino di mugello,44.0027,11.2371,19.5,85,23,1.47,IT,1690415182
355,swakopmund,-22.6833,14.5333,11.1,84,21,0.89,NA,1690415182
356,lakshettipet,18.8667,79.2167,24.87,95,100,5.85,IN,1690415183
